Date,Max,Min,Vent,Precip,Hum,meteo
2022-12-14,12,11,29,5.7,87.5,Pluie legere
2022-12-15,5,4,38,2.3,85.5,Pluie legere
2022-12-16,8,1,37,0,77,Partiellement nuageux
2022-12-17,6,0,25,0,74,Partiellement nuageux
2022-12-18,10,2,36,0.7,80,Bruine legere
2022-12-19,13,9,39,0,79,Nuageux
2022-12-20,13,11,45,3.6,81,Bruine legere
2022-12-21,13,10,24,1.5,83,Pluie eparse
2022-12-22,14,13,45,5,95,Pluie moderee
2022-12-23,14,13,42,3.5,84,Pluie legere
2022-12-24,12,10,20,1.7,85,Bruine legere
2022-12-25,14,10,41,0,85,Couvert
2022-12-26,11,8,34,0.3,81,Pluie eparse
2022-12-27,11,6,21,0,82,Clair
2022-12-28,12,10,40,0.2,84,Pluie eparse
2022-12-29,12,10,36,2.7,83,Pluie legere
2022-12-30,14,10,49,3,81,Pluie legere
2022-12-31,16,13,37,0.1,81,Clair
2023-01-01,13,11,38,0,80,Couvert
2023-01-02,12,8,29,2.9,84,Bruine legere
2023-01-03,12,10,20,0,87,Clair
2023-01-04,12,10,28,0,83,Couvert
2023-01-05,13,11,21,0.3,81,Pluie eparse
2023-01-06,13,11,19,0,81,Couvert
2023-01-07,12,9,39,0.6,83,Pluie legere
2023-01-08,12,10,42,4.5,84,Pluie legere
2023-01-09,11,10,39,1.3,79,Pluie legere
2023-01-10,13,10,41,1.6,81,Pluie legere
2023-01-11,12,11,38,2.1,77,Pluie legere
2023-01-12,12,11,36,0.4,80,Pluie eparse
2023-01-13,13,10,42,1.5,80,Pluie legere
2023-01-14,14,10,55,0.5,79,Couvert
2023-01-15,10,8,47,3.9,76,Pluie legere
2023-01-16,8,3,13,0,80,Partiellement nuageux
2023-01-17,8,4,34,2.9,78,Pluie legere
2023-01-18,6,3,34,2.4,80,neige modérées à fortes
2023-01-19,7,4,29,0.1,78,Couvert
2023-01-20,5,2,16,0,75,Couvert
2023-01-21,6,2,20,0,78,Couvert
2023-01-22,7,0,20,0,76,Clair
2023-01-23,4,1,27,0,78,Couvert
2023-01-24,5,1,29,0,81,Couvert
2023-01-25,7,3,20,0,78,Couvert
2023-01-26,5,3,33,4.4,82,Pluie legere
2023-01-27,8,4,31,0.3,82,Pluie eparse
2023-01-28,6,1,25,0,82,Couvert
2023-01-29,6,1,19,0,82,Nuageux
2023-01-30,10,3,19,0,88,Couvert
2023-01-31,8,3,18,0,88,Nuageux
2023-02-01,11,8,26,1.6,87,Pluie legere
2023-02-02,11,9,29,3.9,89,Pluie legere
2023-02-03,10,7,28,3.2,85,Pluie legere